jpn	eng	spa	deu
これを使ってもいいですか？	Can I use this?	¿Puedo usar esto?	Darf ich das benutzen?
その公園は静かです。	The park is quiet.	El parque está tranquilo.	Der Park ist ruhig.
私は先生に質問しました。	I asked the teacher a question.	Le hice una pregunta al maestro.	Ich habe den Lehrer eine Frage gestellt.
彼は野球をしています。	He is playing baseball.	Él está jugando béisbol.	Er spielt Baseball.
私たちは友達になりました。	We became friends.	Nos hicimos amigos.	Wir wurden Freunde.
彼女は新しいドレスを着ています。	She is wearing a new dress.	Ella lleva un vestido nuevo.	Sie trägt ein neues Kleid.
今何時ですか？	What time is it now?	¿Qué hora es ahora?	Wie spät ist es jetzt?
この道をまっすぐ進んでください。	Go straight on this road.	Sigue recto por este camino.	Gehen Sie geradeaus auf dieser Straße.
私は昨日映画を見ました。	I watched a movie yesterday.	Ayer vi una película.	Ich habe gestern einen Film gesehen.
彼はまだ眠っています。	He is still sleeping.	Él todavía está durmiendo.	Er schläft noch.
